Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
A2A8Z1,KO_vs_WT,-0.0238044084606233,0.178137401681103,-0.133629480591826,6,0.898064978685845,0.999830560976539,,0.609756097560976,0.0670731707317073
A2AAE1,KO_vs_WT,0.0748914151775825,0.278973614730797,0.268453399257313,3,0.805752122820136,0.999830560976539,,0.583333333333333,0
A2AAX3,KO_vs_WT,0.128690797696057,0.308428504324165,0.417246771591512,6,0.691015833539336,0.999830560976539,,0.5875,0.1375
A2AAY5,KO_vs_WT,-0.75299236708936,0.286892784368806,-2.62464728329094,6,0.0393405642101548,0.999830560976539,,0.538461538461538,0.144230769230769
A2AB59,KO_vs_WT,-0.0632017318690305,0.153244173863673,-0.412425022599915,6,0.694358912840351,0.999830560976539,,0.633333333333333,0.025
A2ABV5,KO_vs_WT,0.0519795630509847,0.167627100974787,0.310090449269316,6,0.766980394317053,0.999830560976539,,0.622058823529412,0.0205882352941176
A2ADY9,KO_vs_WT,0.171195057315793,0.157425979311632,1.08746382308923,6,0.318574816749845,0.999830560976539,,0.458333333333333,0.0238095238095238
A2AF47,KO_vs_WT,0.0168276179009499,0.133043578061409,0.12648200045539,6,0.903482473350722,0.999830560976539,,0.632291666666667,0.05
A2AG58,KO_vs_WT,0.183949313216572,0.236965399331126,0.776270770904949,1,0.579765059030894,0.999830560976539,,0.625,0
A2AGH6,KO_vs_WT,-0.026405721164735,0.226839689725766,-0.116406970917029,6,0.911128539315825,0.999830560976539,,0.617977528089888,0.0280898876404494
A2AGT5,KO_vs_WT,-0.0390444990941552,0.150197089715943,-0.259955097452269,6,0.80358881841441,0.999830560976539,,0.605633802816902,0.0105633802816901
A2AH22,KO_vs_WT,0.1732928773053,0.342584285590925,0.505840123420685,6,0.631011127050514,0.999830560976539,,0.61875,0.1625
A2AHC3,KO_vs_WT,-0.148004352838155,0.361991563997216,-0.408861331473717,6,0.696834595039139,0.999830560976539,,0.625,0.0535714285714286
A2AHG0,KO_vs_WT,-0.171003001739931,0.394112561148239,-0.433893812574045,6,0.679532837398835,0.999830560976539,,0,0
A2AIG8,KO_vs_WT,0.179889919011044,0.366310512454573,0.491085876311978,6,0.640809691623544,0.999830560976539,,0.633333333333333,0.1
A2AIL4,KO_vs_WT,0.286946983575173,0.202854975716773,1.41454249550087,5,0.21634623777937,0.999830560976539,,0.416666666666667,0
A2AIV2,KO_vs_WT,0.0523556426252441,0.152743637414349,0.342768075394318,6,0.74346243518078,0.999830560976539,,0.592920353982301,0.0309734513274336
A2AIV8,KO_vs_WT,-0.420885876408926,0.206320069719777,-2.03996575311636,6,0.0874485473141293,0.999830560976539,,0.528409090909091,0.0284090909090909
A2AJ15,KO_vs_WT,0.26808460684843,0.265450565925019,1.00992290566129,6,0.351511194347732,0.999830560976539,,0.444444444444444,0
A2AJI0,KO_vs_WT,0.12080895562511,0.236527643218106,0.510760408303354,6,0.627761520030479,0.999830560976539,,0.625,0.0729166666666667
A2AJK6,KO_vs_WT,-0.0874458097351996,0.245003577393097,-0.356916460835578,6,0.733371413545909,0.999830560976539,,0.660714285714286,0.0386904761904762
A2AJL3,KO_vs_WT,-0.380981959685935,0.570888922866479,-0.667348663507069,6,0.52936509751325,0.999830560976539,,0.5875,0.0875
A2AJT4,KO_vs_WT,0.143372301251109,0.218315688832391,0.65672010114299,6,0.535721800628327,0.999830560976539,,0.520833333333333,0.0208333333333333
A2AJT9,KO_vs_WT,-0.249803669349224,0.278798980609944,-0.895999220666858,6,0.404764878180207,0.999830560976539,,0.366666666666667,0.1
A2AKB9,KO_vs_WT,0.0837645861609048,0.301182301112596,0.278119218332122,6,0.790256467991773,0.999830560976539,,0.416666666666667,0.0833333333333333
A2AKG8,KO_vs_WT,0.153972812695586,0.336104549097035,0.458109874172318,6,0.662996303682133,0.999830560976539,,0.510416666666667,0.09375
A2AKQ0,KO_vs_WT,-0.546490199168105,0.597784398576492,-0.914192810099203,4,0.412337039110439,0.999830560976539,,0.541666666666667,0.0416666666666667
A2AKX3,KO_vs_WT,0.162693063989413,0.128109779418265,1.2699503873021,6,0.251128584044658,0.999830560976539,,0.643617021276596,0.0691489361702128
A2AL36,KO_vs_WT,-0.00287976894505918,0.163848289896411,-0.0175758254595141,6,0.986547119242418,0.999830560976539,,0.682692307692308,0.144230769230769
A2AN08,KO_vs_WT,-0.124967245178017,0.127271536243569,-0.981894686482432,6,0.364071075020323,0.999830560976539,,0.584239130434783,0.025
A2APV2,KO_vs_WT,-0.095372197558078,0.142053818902313,-0.67138073650567,6,0.526966352339474,0.999830560976539,,0.634493670886076,0.0332278481012658
A2AQ19,KO_vs_WT,0.0734275539648342,0.120783754954424,0.607925742932407,6,0.565521640540315,0.999830560976539,,0.587239583333333,0.0403645833333333
A2AR02,KO_vs_WT,-0.263919774486904,0.256414851689073,-1.02926867437043,6,0.343046124123616,0.999830560976539,,0.524390243902439,0.00914634146341463
A2AR50;Q9ERD6,KO_vs_WT,2.80243486387066,0.521275085608938,5.37611510935141,2,0.0329009589578364,0.999830560976539,,0.5,0
A2AS89,KO_vs_WT,-0.492031574995832,0.67616870758867,-0.727675755286723,5,0.499444683756928,0.999830560976539,,0.125,0
A2ASZ8,KO_vs_WT,-0.197818702907394,0.265601899431006,-0.744794006862064,6,0.484536040546344,0.999830560976539,,0.5625,0.1875
A2AT37,KO_vs_WT,-0.0194188186774467,0.148082257644712,-0.131135349948794,6,0.89995475937271,0.999830560976539,,0.600877192982456,0.0394736842105263
A2ATU0,KO_vs_WT,0.421318339442529,0.229626854228836,1.8347955898166,6,0.116213298758476,0.999830560976539,,0.4375,0.0104166666666667
A2AUY4,KO_vs_WT,0.101980234683317,0.463292680173011,0.220120539450859,5,0.83448240351684,0.999830560976539,,0.675,0.2
A2AWA9,KO_vs_WT,0.221058506954857,0.111247745521871,1.98708302732659,6,0.0940956592459605,0.999830560976539,,0.567708333333333,0.00520833333333333
A2AWL7,KO_vs_WT,-0.144014660217471,0.275124342119096,-0.523452992593181,6,0.619420920152226,0.999830560976539,,0.722222222222222,0.166666666666667
A2AWP8,KO_vs_WT,-0.30104599298816,0.294737351243439,-1.02140428323084,6,0.346467297821129,0.999830560976539,,0.635416666666667,0.135416666666667
A2AWT3,KO_vs_WT,0.307924167259118,0.353521128158682,0.871020549359931,3,0.447840222814881,0.999830560976539,,0.416666666666667,0.0416666666666667
A2BE28,KO_vs_WT,0.149552102932801,0.197280083636332,0.758069948958897,6,0.477118172840097,0.999830560976539,,0.5,0
A2BH40,KO_vs_WT,-0.0698326741516893,0.135032671838376,-0.517153909501798,6,0.623552555509516,0.999830560976539,,0.565746753246753,0.0121753246753247
A2CG63,KO_vs_WT,0.213310732050476,0.174439703053399,1.22283361136643,6,0.267240413298672,0.999830560976539,,0.486842105263158,0
A2RRD8,KO_vs_WT,-0.105392633604152,0.291194245983352,-0.361932404427309,6,0.729807743704741,0.999830560976539,,0.4375,0.104166666666667
A2RRP1,KO_vs_WT,0.172095515231513,0.293238022832352,0.586879946772462,6,0.578681751194992,0.999830560976539,,0.633254716981132,0.107311320754717
A2RSJ4,KO_vs_WT,0.171670865397721,0.158331502418878,1.08424958252182,6,0.31988789830665,0.999830560976539,,0.527777777777778,0.0833333333333333
A2RSX7,KO_vs_WT,-0.165321153981568,0.394516551529838,-0.419047447668528,5,0.692574942805414,0.999830560976539,,0.708333333333333,0
A2RSY1,KO_vs_WT,0.146147530956911,0.131223318331193,1.11373140700535,6,0.30801076068507,0.999830560976539,,0.597222222222222,0.152777777777778
A2RSY6,KO_vs_WT,0.0223875810633251,0.23295673825318,0.0961018823975547,6,0.926569150564962,0.999830560976539,,0.536764705882353,0
A2RT67,KO_vs_WT,0.356389734269597,0.174814556970285,2.03867309705893,6,0.0876052173994646,0.999830560976539,,0.75,0.0625
A2RTL5,KO_vs_WT,0.0980531652553752,0.132342080484517,0.740906935242317,6,0.486722840527086,0.999830560976539,,0.59051724137931,0.0387931034482759
A2RTX5,KO_vs_WT,0.104953904867374,0.273860887689869,0.383238021875645,6,0.714753997000968,0.999830560976539,,0.590277777777778,0.0902777777777778
A2RUC4,KO_vs_WT,-0.406772901401258,0.639992804269541,-0.635589804584647,4,0.559587810514037,0.999830560976539,,0.520833333333333,0.0208333333333333
A2RUS2,KO_vs_WT,0.164118529742735,0.130172933520771,1.26077307550688,6,0.254198285532354,0.999830560976539,,0.597014925373134,0.0690298507462687
A2VDF0,KO_vs_WT,-0.536360971034411,0.38999674559839,-1.37529601743585,3,0.262744205139304,0.999830560976539,,0.725,0.1
A3KFM7,KO_vs_WT,-0.132070833057516,0.103914859320728,-1.27095233464047,6,0.250795429635374,0.999830560976539,,0.666666666666667,0.166666666666667
A3KFX0,KO_vs_WT,-0.420067968135981,0.188074634094464,-2.23351740205963,5,0.0758292869182269,0.999830560976539,,0.541666666666667,0.125
A3KGF7,KO_vs_WT,-0.169213068304125,0.215232436955988,-0.786187577938017,6,0.461668955224528,0.999830560976539,,0.537037037037037,0.00925925925925926
A3KGS3,KO_vs_WT,-0.0778550113240128,0.214367523635196,-0.363184730614811,6,0.728919153320818,0.999830560976539,,0.648936170212766,0.0638297872340426
A3KGV1,KO_vs_WT,0.356716531558189,0.462773569061569,0.770823044802567,6,0.470066887798625,0.999830560976539,,0.6125,0.11
A3KMH1,KO_vs_WT,0.113708823274066,0.39393798092913,0.288646509803081,6,0.782564620807921,0.999830560976539,,0.720588235294118,0.191176470588235
A3KMP2,KO_vs_WT,-0.129068712374381,0.241014358236822,-0.535522917881755,6,0.611546609078675,0.999830560976539,,0.325,0.025
A3KN83,KO_vs_WT,0.91434824152546,0.346674027207596,2.63748700440696,6,0.0386702132863634,0.999830560976539,,0.395833333333333,0.0416666666666667
A4D1E9,KO_vs_WT,-0.688038023150635,0.30692999388722,-2.24167737547166,6,0.0661942184270967,0.999830560976539,,0.625,0.196428571428571
A4D1P6,KO_vs_WT,-0.163025350033734,0.11494359049057,-1.41830744400758,6,0.205889225988754,0.999830560976539,,0.516666666666667,0.00833333333333333
A4D1U4,KO_vs_WT,-0.208908366381055,0.21768469165533,-0.959683314395984,6,0.374274402889546,0.999830560976539,,0.510416666666667,0.0833333333333333
A4Q9F4,KO_vs_WT,-0.347540809381274,0.200543487560897,-1.7329947414809,3,0.18151673564074,0.999830560976539,,0.375,0
A5PLL1,KO_vs_WT,-0.14010744156489,0.552785607891128,-0.253457108081013,5,0.810006763781471,0.999830560976539,,0.416666666666667,0
A5PLL7,KO_vs_WT,0.116367086744849,0.397080543805705,0.293056631860029,2,0.797088497841958,0.999830560976539,,0.5625,0.0625
A5PLN9,KO_vs_WT,0.173771077146341,0.211219067254206,0.822705447028627,6,0.442137403812245,0.999830560976539,,0,0
A5YKK6,KO_vs_WT,-0.011360112770231,0.249276078051178,-0.0455724145655834,6,0.965129967570167,0.999830560976539,,0.625,0.025
A6H5Y3,KO_vs_WT,-0.0875404983243044,0.150826298676824,-0.580406063745408,6,0.582766391368284,0.999830560976539,,0.739583333333333,0.0677083333333333
A6H5Z3,KO_vs_WT,-0.0805711190854027,0.121300196776217,-0.664229088053712,6,0.53122580090507,0.999830560976539,,0.600490196078431,0.0637254901960784
A6H611,KO_vs_WT,0.142687460648157,0.403706197496542,0.353443820117176,6,0.735842894417037,0.999830560976539,,0.520833333333333,0.0208333333333333
A6H619,KO_vs_WT,-0.314531580918009,0.278940223868166,-1.12759492537966,6,0.302554265282392,0.999830560976539,,0,0
A6H630,KO_vs_WT,-0.214986466839272,0.414768846123207,-0.518328386639267,6,0.6227810579426,0.999830560976539,,0.611111111111111,0.0555555555555556
A6H6A9,KO_vs_WT,0.056063671404348,0.180209160824678,0.311103337631605,6,0.766247161430709,0.999830560976539,,0.631944444444445,0.0694444444444445
A6H8H2,KO_vs_WT,-0.0157185107416317,0.133803707988121,-0.117474403198357,6,0.910317941436377,0.999830560976539,,0.506944444444445,0.00694444444444444
A6NC86,KO_vs_WT,-0.5063508939023,0.697585995197536,-0.725861610451219,1,0.60028381187264,0.999830560976539,,0.875,0
A6NC98,KO_vs_WT,0.240134637692494,0.130728944892808,1.83688958776034,6,0.115876561438777,0.999830560976539,,0.579861111111111,0.0358796296296296
A6NDG6,KO_vs_WT,0.105147509706538,0.369719919082966,0.284397740774532,6,0.785665834092414,0.999830560976539,,0.444444444444444,0
A6NDU8,KO_vs_WT,-0.0557178309717171,0.415104734626844,-0.134225958713298,6,0.897613140534992,0.999830560976539,,0.736111111111111,0.125
A6NED2,KO_vs_WT,0.382962916843829,0.278449211971606,1.37534207452841,6,0.218166731710114,0.999830560976539,,0.766666666666667,0.1
A6NFI3,KO_vs_WT,0.604892294956679,0.371643767436845,1.62761318218385,6,0.154730886456167,0.999830560976539,,0.520833333333333,0.0208333333333333
A6NHR9,KO_vs_WT,0.198434979117634,0.149293138956075,1.32916341973369,6,0.232099659655306,0.999830560976539,,0.612684729064039,0.0369458128078818
A6NHX0,KO_vs_WT,-0.747612176185244,0.796139154739804,-0.939047114734081,2,0.446834928668131,0.999830560976539,,0.666666666666667,0
A6NI15,KO_vs_WT,0.230905692478685,0.346706773808972,0.665997061268578,3,0.553047809066729,0.999830560976539,,0.583333333333333,0
A6NIH7,KO_vs_WT,0.257245881615796,0.211318599629292,1.21733667583957,6,0.269177603562029,0.999830560976539,,0.5,0.0416666666666667
A6NJ78,KO_vs_WT,-0.423536026882656,0.622328619493421,-0.680566526455776,2,0.566366005545861,0.999830560976539,,0.5,0
A6NJG2,KO_vs_WT,-0.232261123033735,0.40010453891516,-0.580501095197485,6,0.582706308995187,0.999830560976539,,0.56875,0.09375
A6NK58,KO_vs_WT,1.24355812730765,0.231987771397565,5.36044688828243,2,0.0330841209168733,0.999830560976539,,0.833333333333333,0
A6NM28,KO_vs_WT,0.131950593849215,0.558122589436355,0.236418658457223,4,0.824720898453578,0.999830560976539,,0.375,0.125
A6NNC1,KO_vs_WT,0.513328485547981,0.323591163468982,1.58634889792714,6,0.163755814401551,0.999830560976539,,0.25,0.208333333333333
A6X919,KO_vs_WT,-0.146894773456566,0.322484231150411,-0.455509942090941,6,0.664762018715335,0.999830560976539,,0.546296296296296,0.0185185185185185
A6ZKI3,KO_vs_WT,0.154426967299667,0.411018810959868,0.375717517500058,6,0.720052107492174,0.999830560976539,,0.6875,0.1875
A8CG34,KO_vs_WT,0.194578201984145,0.269676183620564,0.721525347072984,6,0.497727028840794,0.999830560976539,,0.605603448275862,0.0668103448275862
A8K2U0,KO_vs_WT,-1.65777546591416,0.919943067621101,-1.80204137001764,6,0.121608134515766,0.999830560976539,,0.675,0.1734375
A8MPP1,KO_vs_WT,-1.6932611021622,0.191629079059938,-8.83613859894712,1,0.071742035288195,0.999830560976539,,0.875,0
A8MTL9,KO_vs_WT,-0.0392412779991374,0.66886033440203,-0.058668866997801,1,0.962693004035851,0.999830560976539,,0.75,0
A8MW92,KO_vs_WT,0.396595640117355,0.205657529845595,1.92842751935761,6,0.102066495186632,0.999830560976539,,0.5625,0.0625
A8MXV4,KO_vs_WT,0.109563441917081,0.28670210092786,0.38215081634386,6,0.715518853886415,0.999830560976539,,0.49375,0.04375
A8Y5H7,KO_vs_WT,0.1095355311075,0.257793258079966,0.424896802667829,5,0.688576600510858,0.999830560976539,,0.575,0.1
A9UHW6,KO_vs_WT,-0.386509256397539,0.410224183595622,-0.942190323860915,6,0.382466696696895,0.999830560976539,,0.578125,0.078125
B0I1T2,KO_vs_WT,0.622636660953536,0.349901613285525,1.77946210395279,6,0.125470031569881,0.999830560976539,,0.641304347826087,0.16304347826087
B1AQ75,KO_vs_WT,-0.326495112354089,1.51235510265416,-0.215885218875577,2,0.849094266234325,0.999830560976539,,0.765625,0.078125
B1AQJ2,KO_vs_WT,-0.902469626348016,0.280226695693247,-3.22049840439155,1,0.19166822894641,0.999830560976539,,0.875,0
B1ARD6;B1ARD8,KO_vs_WT,0.551020749300579,0.172533465652716,3.19370359376946,6,0.0187484420504771,0.999830560976539,,0,0
B1AVZ0,KO_vs_WT,-0.272581486585566,0.153959794317156,-1.77047188062651,6,0.127041007977836,0.999830560976539,,0.555555555555556,0
B1AY13,KO_vs_WT,-0.0354114611738262,0.13165267435583,-0.268976390696905,6,0.796957858933205,0.999830560976539,,0.601190476190476,0.0195578231292517
B1AZA5,KO_vs_WT,-0.13661875355835,0.397847322680058,-0.343394930090348,6,0.743014142073353,0.999830560976539,,0.479166666666667,0.125
B1AZI6,KO_vs_WT,-0.00968017997812999,0.213769347834371,-0.0452832928396742,6,0.965351014074225,0.999830560976539,,0.56125,0.005
B1AZP2,KO_vs_WT,-0.864590176376679,0.224958256780722,-3.84333604264829,6,0.00852577029213886,0.999830560976539,,0.638157894736842,0.203947368421053
B2B9E1,KO_vs_WT,0.275881981002466,0.422642182180675,0.65275543387321,5,0.542731409563345,0.999830560976539,,0.125,0
B2KF05,KO_vs_WT,-0.0772714729622413,0.285587376404914,-0.270570337999406,6,0.795788162675946,0.999830560976539,,0.493421052631579,0.0592105263157895
B2RQC6,KO_vs_WT,-0.165590027528945,0.100784793837468,-1.64300606494255,6,0.151487702876867,0.999830560976539,,0.582055214723926,0.0168711656441718
B2RR83,KO_vs_WT,-0.0301164171669651,0.15550809331754,-0.193664628795036,6,0.852828465712129,0.999830560976539,,0.634191176470588,0.0386029411764706
B2RRD7,KO_vs_WT,0.050597049592734,0.295454386079006,0.171251644845117,6,0.869655389688829,0.999830560976539,,0.586538461538462,0.0432692307692308
B2RRE7,KO_vs_WT,-0.494487629953367,0.48456801961991,-1.02047103797984,6,0.346875097642938,0.999830560976539,,0.708333333333333,0.175
B2RSH2,KO_vs_WT,0.224595241638552,0.323052836934573,0.695227578775413,6,0.512923852808521,0.999830560976539,,0.5859375,0.0234375
B2RUJ5;P98084,KO_vs_WT,-0.370592231822832,0.205006402892855,-1.80771052315142,6,0.120657018556658,0.999830560976539,,0.340909090909091,0.136363636363636
B2RUP2,KO_vs_WT,-0.564556055004406,0.633533378820521,-0.891122826165003,5,0.413684491566855,0.999830560976539,,0.5,0.125
B2RUZ4,KO_vs_WT,-0.117129460020203,0.217263062825905,-0.539113545103891,4,0.618414663669477,0.999830560976539,,0.625,0.075
B2RWS6,KO_vs_WT,0.105294528394402,0.133213210075856,0.790421072613176,6,0.459373736071393,0.999830560976539,,0.503048780487805,0.0274390243902439
B2RXB2,KO_vs_WT,-0.130716105205733,0.249801505754773,-0.523279893012557,5,0.623133565322606,0.999830560976539,,0.125,0
B2RXC1,KO_vs_WT,-0.0735790907693705,0.111370847080189,-0.660667425079316,6,0.533355320184367,0.999830560976539,,0.554347826086957,0.0489130434782609
B2RXR6,KO_vs_WT,0.0570636654960842,0.108210298365951,0.527340432082568,6,0.616878671019471,0.999830560976539,,0.641666666666667,0.0166666666666667
B2RXS4,KO_vs_WT,0.104631334895368,0.259949628848452,0.402506190752699,6,0.701259638169442,0.999830560976539,,0.608050847457627,0.0254237288135593
B2RY56,KO_vs_WT,-0.101226796165681,0.19911228440284,-0.508390511762102,6,0.629325585746918,0.999830560976539,,0.566231343283582,0.0149253731343284
B3SHH9,KO_vs_WT,-Inf,,,,,0,oneConditionMissing,,
B7ZBB8,KO_vs_WT,0.0399396919478071,0.313094632885798,0.127564281698739,6,0.902661774820052,0.999830560976539,,0.347222222222222,0
B7ZMP1,KO_vs_WT,-0.138681842719518,0.222783173253776,-0.622496935895346,6,0.556517613616665,0.999830560976539,,0.3125,0.0625
B8JK39,KO_vs_WT,-0.404465352354153,0.357038805591919,-1.13283303108638,5,0.308665560084571,0.999830560976539,,0.625,0.0625
B8ZXI1,KO_vs_WT,-0.080189699629247,0.217884148599124,-0.368038244841688,6,0.725479702691999,0.999830560976539,,0.625,0
B9EJ80,KO_vs_WT,-0.850826300215139,0.222930693620352,-3.81655072434343,6,0.00879603954591057,0.999830560976539,,0.535714285714286,0.25
B9EJ86,KO_vs_WT,0.305156682027891,0.256492927390778,1.18972747175587,6,0.279092311135935,0.999830560976539,,0.598958333333333,0.0260416666666667
B9EJI9,KO_vs_WT,-0.305233624118653,0.408429841537486,-0.747334286274571,6,0.483110569650712,0.999830560976539,,0.333333333333333,0
B9EJR8,KO_vs_WT,0.100629665930819,0.276317475819304,0.36418133030654,6,0.728212343672017,0.999830560976539,,0.333333333333333,0
B9EKI3,KO_vs_WT,0.172621417680083,0.21875444167918,0.789110458078128,6,0.460083429579147,0.999830560976539,,0.533333333333333,0.0666666666666667
C0HKD8;C0HKD9,KO_vs_WT,-0.0574666137880513,0.186783168180179,-0.307664841259232,6,0.768737372837943,0.999830560976539,,0.581896551724138,0.00862068965517241
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6,KO_vs_WT,-0.410675019940562,0.569036591948855,-0.721702304827304,6,0.497625803634404,0.999830560976539,,0.375,0
C4AMC7;Q6VEQ5,KO_vs_WT,-0.0397242493399421,0.256023238072959,-0.155158764645504,6,0.881784284367525,0.999830560976539,,0.60625,0.04375
C9J798;O43374,KO_vs_WT,0.661384974137772,0.366466237183082,1.80476373272922,6,0.121150484264256,0.999830560976539,,0.571428571428571,0.142857142857143
C9JRZ8,KO_vs_WT,-0.74328534148905,0.598290994329928,-1.24234753411509,4,0.281967220014622,0.999830560976539,,0.5,0
D3YXK1,KO_vs_WT,-0.395866100820143,0.397127066607334,-0.996824780043417,6,0.357336985862414,0.999830560976539,,0.375,0.0416666666666667
D3YXK2,KO_vs_WT,0.0135700045801058,0.327289445295523,0.0414617848976245,6,0.968273036913867,0.999830560976539,,0.550925925925926,0.0694444444444445
D3YZP9,KO_vs_WT,-0.481550028163852,0.268696576365,-1.79217031596901,6,0.123281855620693,0.999830560976539,,0.582627118644068,0.0148305084745763
D3Z2R5,KO_vs_WT,0.330947278046696,0.492019958866194,0.672629782761918,6,0.526224701279518,0.999830560976539,,0.666666666666667,0
D3Z6Q9,KO_vs_WT,-0.0292239446051864,0.135606038485097,-0.215506218835514,6,0.836511710309522,0.999830560976539,,0.694444444444445,0
D3Z7P3,KO_vs_WT,-0.173737424465382,0.301643783442618,-0.575968854662083,6,0.585575828602669,0.999830560976539,,0.651408450704225,0.0140845070422535
D3Z7Q2,KO_vs_WT,-0.245229731843433,0.403230286181842,-0.608162978444639,6,0.565374336718121,0.999830560976539,,0.604166666666667,0.104166666666667
E0CYC6;Q8CHQ9;Q9JIY7;Q9JIZ0,KO_vs_WT,-0.435731506890305,0.54818071699837,-0.794868358880272,6,0.456971333428316,0.999830560976539,,0,0
