Protein,Gene,Description,log2FC,pvalue,adj.pvalue,Status
O00204,SULT2B1,sulfotransferase family 2B member 1,-3.09842094827591,0.0890240910277655,0.999774437519936,Not Significant
O00206,TLR4,toll like receptor 4,-0.129227114051713,0.64743580695959,0.999774437519936,Not Significant
O00214,LGALS8,galectin 8,-0.112545462493907,0.669350927584719,0.999774437519936,Not Significant
O00217,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,-0.104128206163138,0.792222527950007,0.999774437519936,Not Significant
O00221,NFKBIE,NFKB inhibitor epsilon,-0.937947642656711,0.203826134899949,0.999774437519936,Not Significant
O00231,PSMD11,"proteasome 26S subunit, non-ATPase 11",0.371449709114173,0.137981456267588,0.999774437519936,Not Significant
O00232,PSMD12,"proteasome 26S subunit, non-ATPase 12",0.369202741217381,0.117616659186803,0.999774437519936,Not Significant
O00233,PSMD9,"proteasome 26S subunit, non-ATPase 9",-0.00261623586007155,0.991416523344646,0.999774437519936,Not Significant
O00244,ATOX1,antioxidant 1 copper chaperone,-0.679780400719021,0.147134524652802,0.999774437519936,Not Significant
O00255,MEN1,menin 1,-0.0930015303138399,0.70383951000175,0.999774437519936,Not Significant
O00257,CBX4,chromobox 4,0.270940238954857,0.735995059644397,0.999774437519936,Not Significant
O00264,PGRMC1,progesterone receptor membrane component 1,-0.783267366511243,0.135194176514778,0.999774437519936,Not Significant
O00267,SUPT5H,"SPT5 homolog, DSIF elongation factor subunit",0.257637592661031,0.115227089270561,0.999774437519936,Not Significant
O00268,TAF4,TATA-box binding protein associated factor 4,-0.0456155729145876,0.863892222218419,0.999774437519936,Not Significant
O00273,DFFA,DNA fragmentation factor subunit alpha,-0.0172870180832044,0.953658516050306,0.999774437519936,Not Significant
O00287,RFXAP,regulatory factor X associated protein,0.0290737670960341,0.937475872168133,0.999774437519936,Not Significant
O00291,HIP1,huntingtin interacting protein 1,0.296233646802591,0.837279267717614,0.999774437519936,Not Significant
O00299,CLIC1,chloride intracellular channel 1,-0.31444518324588,0.55975952860523,0.999774437519936,Not Significant
O00303,EIF3F,eukaryotic translation initiation factor 3 subunit F,-0.089857397721583,0.889781507682091,0.999774437519936,Not Significant
O00305,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,-0.699157290823507,0.00543854389504594,0.999774437519936,Not Significant
O00308,WWP2,WW domain containing E3 ubiquitin protein ligase 2,-0.493587424421193,0.277232640235783,0.999774437519936,Not Significant
O00329,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",0.0836398573635673,0.630574203110717,0.999774437519936,Not Significant
O00330,PDHX,pyruvate dehydrogenase complex component X,-0.245745325815531,0.392194459317504,0.999774437519936,Not Significant
O00391,QSOX1,quiescin sulfhydryl oxidase 1,-1.09517829254173,0.463229215345593,0.999774437519936,Not Significant
O00400,SLC33A1,solute carrier family 33 member 1,0.0407306587388153,0.852260924251436,0.999774437519936,Not Significant
O00409,FOXN3,forkhead box N3,-0.508455606400855,0.140141622309658,0.999774437519936,Not Significant
O00410,IPO5,importin 5,0.296346303874204,0.142918307689353,0.999774437519936,Not Significant
O00418,EEF2K,eukaryotic elongation factor 2 kinase,0.136598517975174,0.675319419749946,0.999774437519936,Not Significant
O00421,CCRL2,C-C motif chemokine receptor like 2,-0.198505425477755,0.883941995365352,0.999774437519936,Not Significant
O00422,SAP18,Sin3A associated protein 18,-1.48861608015117,0.0488829283752956,0.999774437519936,Not Significant
O00423,EML1,EMAP like 1,0.332052744251492,0.0832735340073678,0.999774437519936,Not Significant
O00425,IGF2BP3,insulin like growth factor 2 mRNA binding protein 3,0.113156364045864,0.483927446589992,0.999774437519936,Not Significant
O00429,DNM1L,dynamin 1 like,-0.076771518230253,0.629840258544106,0.999774437519936,Not Significant
O00442,RTCA,RNA 3'-terminal phosphate cyclase,0.147948138480831,0.446653619842843,0.999774437519936,Not Significant
O00443,PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,0.755877741315518,0.0297942760346106,0.999774437519936,Not Significant
O00453,LST1,leukocyte specific transcript 1,0.108536410442613,0.791775250716622,0.999774437519936,Not Significant
O00461,GOLIM4,golgi integral membrane protein 4,0.315383259901035,0.375567678049611,0.999774437519936,Not Significant
O00462,MANBA,mannosidase beta,0.120947250094868,0.547626569723706,0.999774437519936,Not Significant
O00471,EXOC5,exocyst complex component 5,0.204401215929971,0.422285650781213,0.999774437519936,Not Significant
O00479,HMGN4,high mobility group nucleosomal binding domain 4,0.0168978574164555,0.981692632689483,0.999774437519936,Not Significant
O00483,COXFA4,cytochrome c oxidase associated subunit FA4,-0.517659919148463,0.153947461771347,0.999774437519936,Not Significant
O00488,ZNF593,zinc finger protein 593,-0.282020474208573,0.769154343068531,0.999774437519936,Not Significant
O00499,BIN1,bridging integrator 1,-0.371464532813184,0.223551352044216,0.999774437519936,Not Significant
O00505,KPNA3,karyopherin subunit alpha 3,-0.00646495734841971,0.960669044110669,0.999774437519936,Not Significant
O00506,STK25,serine/threonine kinase 25,0.926057488041185,0.000983872808780983,0.999774437519936,Not Significant
O00522,KRIT1,KRIT1 ankyrin repeat containing,-0.66207036295382,0.405259153432445,0.999774437519936,Not Significant
O00534,VWA5A,von Willebrand factor A domain containing 5A,0.0232228177812537,0.900928966551137,0.999774437519936,Not Significant
O00541,PES1,pescadillo ribosomal biogenesis factor 1,0.029361973917682,0.907649168945479,0.999774437519936,Not Significant
O00560,SDCBP,syndecan binding protein,0.0875311797015787,0.673343962723138,0.999774437519936,Not Significant
O00562,PITPNM1,phosphatidylinositol transfer protein membrane associated 1,0.0270044613122034,0.921813508410349,0.999774437519936,Not Significant
O00566,MPHOSPH10,M-phase phosphoprotein 10,-0.14125460657126,0.620812836884774,0.999774437519936,Not Significant
O00567,NOP56,NOP56 ribonucleoprotein,0.176296235790872,0.558950234023246,0.999774437519936,Not Significant
O00571,DDX3X,DEAD-box helicase 3 X-linked,-0.00272533611757348,0.986146066961965,0.999774437519936,Not Significant
O00584,RNASET2,ribonuclease T2,-0.206694751160961,0.583916817249844,0.999774437519936,Not Significant
O00623,PEX12,peroxisomal biogenesis factor 12,0.652184300377948,0.159088384671612,0.999774437519936,Not Significant
O00625,PIR,pirin,0.393286024441051,0.272101900667274,0.999774437519936,Not Significant
O00629,KPNA4,karyopherin subunit alpha 4,0.41647709765559,0.531114542071225,0.999774437519936,Not Significant
O00635,TRIM38,tripartite motif containing 38,0.129581390694254,0.429102348000782,0.999774437519936,Not Significant
O00712,NFIB,nuclear factor I B,0.136810900798938,0.131894444760147,0.999774437519936,Not Significant
O00750,PIK3C2B,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta,0.526599144968984,0.0195370009625575,0.999774437519936,Not Significant
O00754,MAN2B1,mannosidase alpha class 2B member 1,0.105560116545455,0.369615850111205,0.999774437519936,Not Significant
O00757,FBP2,fructose-bisphosphatase 2,-0.0199674695887566,0.897826821548943,0.999774437519936,Not Significant
O00764,PDXK,pyridoxal kinase,0.0991404904861103,0.58683963605127,0.999774437519936,Not Significant
O14494,PLPP1,phospholipid phosphatase 1,-0.129477824938754,0.713074832548595,0.999774437519936,Not Significant
O14497,ARID1A,AT-rich interaction domain 1A,-0.305182371822316,0.0726999377773347,0.999774437519936,Not Significant
O14523,C2CD2L,C2CD2 like,0.033332046408854,0.921046086871509,0.999774437519936,Not Significant
O14524,NEMP1,nuclear envelope integral membrane protein 1,0.339817921626346,0.413683384814081,0.999774437519936,Not Significant
O14526,FCHO1,FCH and mu domain containing endocytic adaptor 1,0.824805708863126,0.069301375948128,0.999774437519936,Not Significant
O14530,TXNDC9,thioredoxin domain containing 9,-0.144595876021139,0.497214693511892,0.999774437519936,Not Significant
O14544,SOCS6,suppressor of cytokine signaling 6,-0.0619031122879584,0.798393931717619,0.999774437519936,Not Significant
O14545,TRAFD1,TRAF-type zinc finger domain containing 1,0.0869281349956669,0.599982891288065,0.999774437519936,Not Significant
O14548,COX7A2L,cytochrome c oxidase subunit 7A2 like,-0.515020276757211,0.196785230173566,0.999774437519936,Not Significant
O14562,UBFD1,ubiquitin family domain containing 1,-0.179809953509591,0.544520450974213,0.999774437519936,Not Significant
O14569,CYB561D2,cytochrome b561 family member D2,0.0608777584599524,0.832834460816502,0.999774437519936,Not Significant
O14579,COPE,coat protein complex I subunit epsilon,-0.294109382915969,0.488214412674642,0.999774437519936,Not Significant
O14593,RFXANK,regulatory factor X associated ankyrin containing protein,0.123355416589595,0.774692887392188,0.999774437519936,Not Significant
O14617,AP3D1,adaptor related protein complex 3 subunit delta 1,0.256662876271512,0.0577016692606289,0.999774437519936,Not Significant
O14618,CCS,copper chaperone for superoxide dismutase,-0.343070274060738,0.373776474777277,0.999774437519936,Not Significant
O14641,DVL2,dishevelled segment polarity protein 2,0.276109120965151,0.673396920763191,0.999774437519936,Not Significant
O14646,CHD1,chromodomain helicase DNA binding protein 1,0.124084383130919,0.661601333514177,0.999774437519936,Not Significant
O14647,CHD2,chromodomain helicase DNA binding protein 2,0.243018117677426,0.462156206383183,0.999774437519936,Not Significant
O14653,GOSR2,golgi SNAP receptor complex member 2,-0.192185196468091,0.702177270973919,0.999774437519936,Not Significant
O14656,TOR1A,torsin family 1 member A,-0.127142883977773,0.606572276910873,0.999774437519936,Not Significant
O14657,TOR1B,torsin family 1 member B,0.371624545756182,0.134705055662949,0.999774437519936,Not Significant
O14662,STX16,syntaxin 16,1.46725656440502,0.0848927256321521,0.999774437519936,Not Significant
O14672,ADAM10,ADAM metallopeptidase domain 10,0.133505450531132,0.613321701277728,0.999774437519936,Not Significant
O14678,ABCD4,ATP binding cassette subfamily D member 4,0.00662095925750864,0.988199448305439,0.999774437519936,Not Significant
O14681,EI24,EI24 autophagy associated transmembrane protein,0.0685058386256846,0.79916424371172,0.999774437519936,Not Significant
O14686,KMT2D,lysine methyltransferase 2D,-0.184832583798574,0.389348126119228,0.999774437519936,Not Significant
O14727,APAF1,apoptotic peptidase activating factor 1,0.086475760308857,0.521179254225464,0.999774437519936,Not Significant
O14732,IMPA2,inositol monophosphatase 2,0.124473575718579,0.870970392073357,0.999774437519936,Not Significant
O14733,MAP2K7,mitogen-activated protein kinase kinase 7,0.328677880598652,0.373147654448609,0.999774437519936,Not Significant
O14734,ACOT8,acyl-CoA thioesterase 8,0.112360147522745,0.670630507403908,0.999774437519936,Not Significant
O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,0.104277451743851,0.768236514236396,0.999774437519936,Not Significant
O14737,PDCD5,programmed cell death 5,0.223496171107554,0.619624096386259,0.999774437519936,Not Significant
O14744,PRMT5,protein arginine methyltransferase 5,0.0373270984616854,0.854354038777696,0.999774437519936,Not Significant
O14745,NHERF1,NHERF family PDZ scaffold protein 1,-0.300209462916751,0.162077688073258,0.999774437519936,Not Significant
O14772,FPGT,fucose-1-phosphate guanylyltransferase,0.238046901880224,0.353798586627063,0.999774437519936,Not Significant
O14773,TPP1,tripeptidyl peptidase 1,0.0807509479652534,0.772771014156622,0.999774437519936,Not Significant
O14776,TCERG1,transcription elongation regulator 1,-0.0822743549826298,0.787378045718868,0.999774437519936,Not Significant
O14782,KIF3C,kinesin family member 3C,-0.607059654670197,0.298816718618709,0.999774437519936,Not Significant
O14787,TNPO2,transportin 2,0.207506519388874,0.59986357290455,0.999774437519936,Not Significant
O14802,POLR3A,RNA polymerase III subunit A,-0.00141775869735333,0.990974015368609,0.999774437519936,Not Significant
O14818,PSMA7,proteasome 20S subunit alpha 7,0.395510470139542,0.0308764482564641,0.999774437519936,Not Significant
O14828,SCAMP3,secretory carrier membrane protein 3,0.081134042069134,0.719477419006466,0.999774437519936,Not Significant
O14841,OPLAH,"5-oxoprolinase, ATP-hydrolysing",-0.00957686131824662,0.957321923936685,0.999774437519936,Not Significant
O14867,BACH1,BTB domain and CNC homolog 1,0.507159720547187,0.0077298254990037,0.999774437519936,Not Significant
O14874,BCKDK,branched chain keto acid dehydrogenase kinase,-0.395807756370201,0.645742353073663,0.999774437519936,Not Significant
O14879,IFIT3,interferon induced protein with tetratricopeptide repeats 3,0.421289602884189,0.17241632598788,0.999774437519936,Not Significant
O14880,MGST3,microsomal glutathione S-transferase 3,-0.150754137865587,0.501589782547016,0.999774437519936,Not Significant
O14907,TAX1BP3,Tax1 binding protein 3,-0.272550754305421,0.730439129065225,0.999774437519936,Not Significant
O14908,GIPC1,GIPC PDZ domain containing family member 1,0.17125972373176,0.245139978671817,0.999774437519936,Not Significant
O14920,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta,-0.0638736202784601,0.745405485182343,0.999774437519936,Not Significant
O14924,RGS12,regulator of G protein signaling 12,0.126267647988749,0.570031513796168,0.999774437519936,Not Significant
O14925,TIMM23,translocase of inner mitochondrial membrane 23,-0.225684576430311,0.662051070892376,0.999774437519936,Not Significant
O14929,HAT1,histone acetyltransferase 1,-0.251176281219734,0.556250477064776,0.999774437519936,Not Significant
O14933,UBE2L6,ubiquitin conjugating enzyme E2 L6,-0.0728747829011056,0.810324315849644,0.999774437519936,Not Significant
O14939,PLD2,phospholipase D2,0.369393716657219,0.427378469423773,0.999774437519936,Not Significant
O14948,TFEC,transcription factor EC,0.825374615165622,0.2149453796178,0.999774437519936,Not Significant
O14949,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII,0.329777125120144,0.51865027877999,0.999774437519936,Not Significant
O14958,CASQ2,calsequestrin 2,-1.62213271629108,0.379611061505195,0.999774437519936,Not Significant
O14964,HGS,hepatocyte growth factor-regulated tyrosine kinase substrate,-0.239246436471164,0.323191606869911,0.999774437519936,Not Significant
O14966,RAB29,"RAB29, member RAS oncogene family",0.0693802061386646,0.837494267809725,0.999774437519936,Not Significant
O14972,VPS26C,VPS26 endosomal protein sorting factor C,0.00268674733951096,0.981905250114935,0.999774437519936,Not Significant
O14974,PPP1R12A,protein phosphatase 1 regulatory subunit 12A,0.2686740615579,0.0413629288479314,0.999774437519936,Not Significant
O14976,GAK,cyclin G associated kinase,0.0493789000188804,0.733731984464509,0.999774437519936,Not Significant
O14979,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like,0.0174568302690096,0.964210992767204,0.999774437519936,Not Significant
O14980,XPO1,exportin 1,0.138070078028219,0.65602940232349,0.999774437519936,Not Significant
O14981,BTAF1,B-TFIID TATA-box binding protein associated factor 1,0.0259828036605661,0.86857279883516,0.999774437519936,Not Significant
O15014,ZNF609,zinc finger protein 609,0.024703049028419,0.912258144110174,0.999774437519936,Not Significant
O15015,ZNF646,zinc finger protein 646,0.354556803348581,0.198198387038787,0.999774437519936,Not Significant
O15020,SPTBN2,"spectrin beta, non-erythrocytic 2",0.069825942371139,0.906156015497508,0.999774437519936,Not Significant
O15021,MAST4,microtubule associated serine/threonine kinase family member 4,0.0107415949612956,0.981102604516274,0.999774437519936,Not Significant
O15027,SEC16A,"SEC16 homolog A, endoplasmic reticulum export factor",0.126307354054731,0.442852883449891,0.999774437519936,Not Significant
O15031,PLXNB2,plexin B2,0.0057025994101392,0.988509782807398,0.999774437519936,Not Significant
O15037,KHNYN,KH and NYN domain containing,0.410853130812932,0.013273739184462,0.999774437519936,Not Significant
O15042,U2SURP,U2 snRNP associated SURP domain containing,-0.156213755058506,0.504526464223321,0.999774437519936,Not Significant
O15047,SETD1A,"SET domain containing 1A, histone lysine methyltransferase",0.0470888548656195,0.713457930808982,0.999774437519936,Not Significant
O15050,TRANK1,tetratricopeptide repeat and ankyrin repeat containing 1,0.375245176314486,0.217801452865226,0.999774437519936,Not Significant
O15067,PFAS,phosphoribosylformylglycinamidine synthase,0.120585049311787,0.313424541011063,0.999774437519936,Not Significant
O15068,MCF2L,MCF.2 cell line derived transforming sequence like,-0.034817769050347,0.898458852759386,0.999774437519936,Not Significant
O15085,ARHGEF11,Rho guanine nucleotide exchange factor 11,-0.326748469474191,0.259367586436591,0.999774437519936,Not Significant
O15091,PRORP,protein only RNase P catalytic subunit,-0.181845335084261,0.616445067722244,0.999774437519936,Not Significant
O15111,CHUK,component of inhibitor of nuclear factor kappa B kinase complex,0.0340186948349783,0.985286715207859,0.999774437519936,Not Significant
O15117,FYB1,FYN binding protein 1,-0.0290003108029471,0.756276331643367,0.999774437519936,Not Significant
O15118,NPC1,NPC intracellular cholesterol transporter 1,0.147108968417491,0.557906335387595,0.999774437519936,Not Significant
O15120,AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2,-0.0918272513468196,0.840965043803401,0.999774437519936,Not Significant
O15121,DEGS1,"delta 4-desaturase, sphingolipid 1",0.184418171943904,0.495735377278341,0.999774437519936,Not Significant
O15126,SCAMP1,secretory carrier membrane protein 1,0.0625577111710956,0.675061884468943,0.999774437519936,Not Significant
O15127,SCAMP2,secretory carrier membrane protein 2,0.00606960929640887,0.972939895049908,0.999774437519936,Not Significant
O15131,KPNA5,karyopherin subunit alpha 5,0.672425864230484,0.229935000215413,0.999774437519936,Not Significant
O15143,ARPC1B,actin related protein 2/3 complex subunit 1B,0.0564397025042475,0.60534329697238,0.999774437519936,Not Significant
O15144,ARPC2,actin related protein 2/3 complex subunit 2,0.67911748371123,0.244880782884577,0.999774437519936,Not Significant
O15145,ARPC3,actin related protein 2/3 complex subunit 3,-0.65072237514853,0.189951258921973,0.999774437519936,Not Significant
O15160,POLR1C,RNA polymerase I and III subunit C,0.401784905213261,0.078028127257096,0.999774437519936,Not Significant
O15162,PLSCR1,phospholipid scramblase 1,0.262414152388707,0.207236394735366,0.999774437519936,Not Significant
O15164,TRIM24,tripartite motif containing 24,0.158456512511605,0.471866107446145,0.999774437519936,Not Significant
O15173,PGRMC2,progesterone receptor membrane component 2,-0.0941503951702142,0.810030484068259,0.999774437519936,Not Significant
O15211,RGL2,ral guanine nucleotide dissociation stimulator like 2,0.00323688942273212,0.991647940969734,0.999774437519936,Not Significant
O15213,WDR46,WD repeat domain 46,0.151943867029609,0.449220186530273,0.999774437519936,Not Significant
O15217,GSTA4,glutathione S-transferase alpha 4,-0.0160375767091161,0.965934840309017,0.999774437519936,Not Significant
O15226,NKRF,NFKB repressing factor,0.216310455155519,0.332827494682137,0.999774437519936,Not Significant
O15228,GNPAT,glyceronephosphate O-acyltransferase,-0.190398669517227,0.447162941528894,0.999774437519936,Not Significant
O15231,ZNF185,zinc finger protein 185 with LIM domain,-0.0431755839792834,0.907557637907001,0.999774437519936,Not Significant
O15235,MRPS12,mitochondrial ribosomal protein S12,-0.347669305877658,0.336803207034978,0.999774437519936,Not Significant
O15239,NDUFA1,NADH:ubiquinone oxidoreductase subunit A1,0.525873337820904,0.81159146865521,0.999774437519936,Not Significant
O15244,SLC22A2,solute carrier family 22 member 2,-0.0596083691954253,0.888863905689862,0.999774437519936,Not Significant
O15254,ACOX3,"acyl-CoA oxidase 3, pristanoyl",0.0981896880172663,0.707127779350038,0.999774437519936,Not Significant
O15258,RER1,retention in endoplasmic reticulum sorting receptor 1,0.190145536160794,0.457562633544014,0.999774437519936,Not Significant
O15264,MAPK13,mitogen-activated protein kinase 13,0.486758974454958,0.0764707630254102,0.999774437519936,Not Significant
